left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
1.416667,335.6668,27.16666,344.3335,27.16666,60,325.6665,48.66667,1.333333,335.3335,27.33332,344.6668,27.33332,60,325.3332,49.33334
1.333333,335.3335,27.33332,344.6668,27.33332,60,325.3332,49.33334,1.25,335.0002,27.49999,345.0002,27.49999,60,324.9998,50
1.25,335.0002,27.49999,345.0002,27.49999,60,324.9998,50,1.166667,334.6668,27.66666,345.3335,27.66666,60,324.6665,50.66666
1.166667,334.6668,27.66666,345.3335,27.66666,60,324.6665,50.66666,1.083333,334.3335,27.83332,345.6668,27.83332,60,324.3332,51.33333
1.083333,334.3335,27.83332,345.6668,27.83332,60,324.3332,51.33333,1,334.0001,27.99999,346.0002,27.99999,60,323.9998,51.99999
1,334.0001,27.99999,346.0002,27.99999,60,323.9998,51.99999,0.9166667,333.6668,28.16665,346.3335,28.16665,60,323.6665,52.66666
0.9166667,333.6668,28.16665,346.3335,28.16665,60,323.6665,52.66666,0.8333334,333.3334,28.33332,346.6669,28.33332,60,323.3331,53.33332
0.8333334,333.3334,28.33332,346.6669,28.33332,60,323.3331,53.33332,0.7500001,333.0001,28.49999,347.0002,28.49999,60,322.9998,53.99998
0.7500001,333.0001,28.49999,347.0002,28.49999,60,322.9998,53.99998,0.6666667,332.6667,28.66665,347.3336,28.66665,60,322.6664,54.66665
0.6666667,332.6667,28.66665,347.3336,28.66665,60,322.6664,54.66665,0.5833334,332.3334,28.83332,347.6669,28.83332,60,322.3331,55.33331
0.5833334,332.3334,28.83332,347.6669,28.83332,60,322.3331,55.33331,0.5000001,332.0001,28.99998,348.0002,28.99998,60,321.9998,55.99998
0.5000001,332.0001,28.99998,348.0002,28.99998,60,321.9998,55.99998,0.4166668,331.6667,29.16665,348.3336,29.16665,60,321.6664,56.66664
0.4166668,331.6667,29.16665,348.3336,29.16665,60,321.6664,56.66664,0.3333334,331.3334,29.33332,348.6669,29.33332,60,321.3331,57.33331
0.3333334,331.3334,29.33332,348.6669,29.33332,60,321.3331,57.33331,0.2500001,331,29.49998,349.0003,29.49998,60,320.9997,57.99997
